Chemistry,Segments,Cells_per_Segment,Total_Cells,Segment_Voltage_V,Segment_Energy_Wh,Segment_Energy_MJ,Pack_Voltage_V,Pack_Energy_Wh,Current_per_Cell_A,Energy_Density_Wh_kg,Max_Discharge_Rate
NMC,5,32S3P,480,118.4,1243.2,4.476,592.0,6216.0,20.0,269.8,5.7C
LFP,5,38S3P,570,121.6,1167.4,4.202,608.0,5836.8,20.0,204.8,6.2C
NMC,6,27S3P,486,99.9,1049.0,3.776,599.4,6293.7,20.0,269.8,5.7C
LFP,6,31S3P,558,99.2,952.3,3.428,595.2,5713.9,20.0,204.8,6.2C
NMC,7,23S3P,483,85.1,893.6,3.217,595.7,6254.9,20.0,269.8,5.7C
LFP,7,27S3P,567,86.4,829.4,2.986,604.8,5806.1,20.0,204.8,6.2C
NMC,8,20S3P,480,74.0,777.0,2.797,592.0,6216.0,20.0,269.8,5.7C
LFP,8,23S3P,552,73.6,706.6,2.544,588.8,5652.5,20.0,204.8,6.2C
NMC,9,18S3P,486,66.6,699.3,2.517,599.4,6293.7,20.0,269.8,5.7C
LFP,9,21S3P,567,67.2,645.1,2.322,604.8,5806.1,20.0,204.8,6.2C
NMC,10,16S3P,480,59.2,621.6,2.238,592.0,6216.0,20.0,269.8,5.7C
LFP,10,19S3P,570,60.8,583.7,2.101,608.0,5836.8,20.0,204.8,6.2C
NMC,11,15S3P,495,55.5,582.8,2.098,610.5,6410.2,20.0,269.8,5.7C
LFP,11,17S3P,561,54.4,522.2,1.88,598.4,5744.6,20.0,204.8,6.2C
NMC,12,14S3P,504,51.8,543.9,1.958,621.6,6526.8,20.0,269.8,5.7C
LFP,12,16S3P,576,51.2,491.5,1.769,614.4,5898.2,20.0,204.8,6.2C
NMC,13,12S3P,468,44.4,466.2,1.678,577.2,6060.6,20.0,269.8,5.7C
LFP,13,14S3P,546,44.8,430.1,1.548,582.4,5591.0,20.0,204.8,6.2C
NMC,14,12S3P,504,44.4,466.2,1.678,621.6,6526.8,20.0,269.8,5.7C
LFP,14,13S3P,546,41.6,399.4,1.438,582.4,5591.0,20.0,204.8,6.2C
NMC,15,11S3P,495,40.7,427.4,1.538,610.5,6410.2,20.0,269.8,5.7C
LFP,15,12S3P,540,38.4,368.6,1.327,576.0,5529.6,20.0,204.8,6.2C
NMC,16,10S3P,480,37.0,388.5,1.399,592.0,6216.0,20.0,269.8,5.7C
LFP,16,12S3P,576,38.4,368.6,1.327,614.4,5898.2,20.0,204.8,6.2C
NMC,17,10S3P,510,37.0,388.5,1.399,629.0,6604.5,20.0,269.8,5.7C
LFP,17,11S3P,561,35.2,337.9,1.217,598.4,5744.6,20.0,204.8,6.2C
NMC,18,9S3P,486,33.3,349.7,1.259,599.4,6293.7,20.0,269.8,5.7C
LFP,18,10S3P,540,32.0,307.2,1.106,576.0,5529.6,20.0,204.8,6.2C
NMC,19,9S3P,513,33.3,349.7,1.259,632.7,6643.4,20.0,269.8,5.7C
LFP,19,10S3P,570,32.0,307.2,1.106,608.0,5836.8,20.0,204.8,6.2C
NMC,20,8S3P,480,29.6,310.8,1.119,592.0,6216.0,20.0,269.8,5.7C
LFP,20,9S3P,540,28.8,276.5,0.995,576.0,5529.6,20.0,204.8,6.2C
